Возраст матери;Субъект;Тип;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
45-49 лет;        Новосибирская область;сельское население;0,2;0,4;0,4;0,4;0,3;0,1;0,2;0;0,4;0,1;0,1;0,3;0,1;0,2;0,3;0,1;0,2;0,1;0,1;0,2;0;0,2;0,2;0,2;0,1;0,3;0,5;0,7;0,6;0,4;0,4;0,4
50-54 лет;        Новосибирская область;все население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0;0;0;0,1
50-54 лет;        Новосибирская область;городское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;0,1;0,1;0;0,1
50-54 лет;        Новосибирская область;сельское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-19 лет;        Омская область;все население;56,2;58,2;55,4;52,8;52,5;50,8;45;40,6;37,9;30,3;30,1;27,9;29,2;29,6;30,2;29,1;28,3;28,7;30,3;29,6;28,1;29;29,3;31,6;31,6;30,1;26,9;21,1;18,4;16,9;14,2;14,1
15-19 лет;        Омская область;городское население;45,4;47,2;42,8;41,5;42;40,9;35,4;32,3;27,5;21,5;20;19,3;20,4;21,2;22,3;21,7;19,1;19,4;19,2;17,7;17,5;18,3;18,5;22,3;21,5;22,4;18,9;15,2;13,2;13,2;9,7;9,7
15-19 лет;        Омская область;сельское население;87,9;88,2;86,2;78,5;75,5;72,2;65,6;58,8;61,5;51,4;55,6;50,9;52,4;50,1;48,1;45,9;51;54,5;63,3;65,1;58,5;56,8;54,1;50,9;52,3;46,2;44,3;34,2;30,1;25,3;24,2;23,7
20-24 лет;        Омская область;все население;170;159,9;147,2;131,5;129,1;122,5;113,8;102,1;101,1;89,3;92,4;89,5;95,7;100,7;95,3;90,3;92;92,4;92;92,2;90,8;91,6;96,8;96;97;95;87,6;81,4;80;75,5;73,1;70,2
20-24 лет;        Омская область;городское население;146,9;134,1;122;107,6;108,2;103,8;96,3;87;88;75,6;79;77,5;82,1;85,8;80;76,3;75,8;74,5;73,3;72,4;70,2;68,8;71;69,2;69,4;75,2;70,8;68,8;68,8;66,7;65,8;64,2
20-24 лет;        Омская область;сельское население;235,6;234,7;220,6;201,1;190,4;176,6;163,1;143,3;136,3;125,9;128,1;121,5;133,3;143,2;140,4;132,1;139,9;144,4;146;150,7;155,4;170,1;195,3;202,6;205,1;166,7;140,8;114,9;106,1;94,8;88,7;83,2
25-29 лет;        Омская область;все население;96,1;88,5;76,9;66,9;67,2;67,2;67,8;64,3;65,6;59;61;62;71,2;80,2;78,2;76,9;77,5;89,6;95,4;99,7;104,7;105,2;118,7;118,2;123,2;120,4;112,8;95,6;94,6;86,7;87,6;90
25-29 лет;        Омская область;городское население;85,7;78,8;68;56,8;60,1;58,6;59,5;57,1;59,2;54,6;56,1;58,2;67,9;76,9;74,6;72,9;73,8;84,2;87,3;93,2;97,8;97,5;107,8;106,2;109,7;111,5;103,7;85,2;84;76,9;79,4;84,2
25-29 лет;        Омская область;сельское население;121,4;111,9;98,2;91;84,1;88,4;88,8;83,6;82,7;70,6;74,3;72,2;79,8;89,1;87,8;88,1;88,1;105,6;119,6;119,7;126,3;129,8;155,1;159,8;173,3;155,4;152,3;145,5;147,1;133;122;109,7
30-34 лет;        Омская область;все население;47,3;43,6;36,7;30,6;29,6;29,1;29,8;29,7;29,5;27,7;29,1;30,8;35,6;41,6;42,1;42;41,7;53;60,6;62,7;67,2;73,2;84,4;84,2;89,6;89,1;87,6;78,4;76,1;70,2;67,9;68,7
30-34 лет;        Омская область;городское население;42,5;38,6;32,7;26,5;26;26;26,4;26,8;26,8;26;28,2;30,7;35;41;40,4;40,3;40,1;49,9;58,2;61,1;66,2;71,2;82,3;81,3;86,9;88,1;87,2;77,2;72,4;66,4;64;62,6
30-34 лет;        Омская область;сельское население;59,3;55,9;46,3;40,1;37,8;36,4;37,4;36,5;35,8;31,9;31,2;30,8;36,9;43,1;46,7;46,8;46,2;61,9;67,6;67,5;70,2;79,1;91,1;93;98,6;92,9;89,1;83,1;90,8;86,2;85,9;99,8
35-39 лет;        Омская область;все население;20,2;17,8;14,8;11,9;11,2;10,5;11,2;9,7;10,4;9,6;9,5;9,4;11,8;14,2;14,8;15,5;16,4;21,4;24,1;26,7;29;31,4;37,7;39,7;42,5;42,1;41,4;39,1;39,9;37,9;37,3;38,2
35-39 лет;        Омская область;городское население;16,9;14;12,4;10,1;9,4;9;9,5;8,6;8,9;8,4;8,6;8,6;11;13,3;14,3;14,7;15,8;21,4;22,2;25,7;27,9;31,3;36,2;39,6;42;42,3;41,8;38,8;40,2;37,3;35,7;36,3
35-39 лет;        Омская область;сельское население;29,1;27,7;20,8;16,3;15,6;13,9;15,2;12,2;13,9;12,4;11,7;11,2;13,7;16,3;16,2;17,4;17,8;21,5;29,2;29,4;32,1;31,5;42;39,8;44,1;41,3;39,9;40,4;39,1;40,2;43,2;45,8
40-44 лет;        Омская область;все население;4,4;4,5;4;3,1;2,5;2,5;2,9;2;2,1;2,2;2,1;1,9;2,1;2;2,4;2,5;2,4;3,3;4,1;4,3;4,8;5,6;7,4;7,5;9,2;8,8;8,1;8,1;7,8;7,9;8,4;9,2
40-44 лет;        Омская область;городское население;3,2;3;2,6;2,3;1,7;1,8;2,2;1,4;1,6;1,7;1,9;1,6;1,8;1,8;2,2;2,2;2,1;3;3,7;3,8;4,5;5,7;7,3;7,4;9,2;8,9;8,4;7,9;7,6;7,8;8,3;9
40-44 лет;        Омская область;сельское население;8,3;9,1;8;5,3;4,9;4,5;4,8;3,5;3,4;3,2;2,7;2,6;2,9;2,6;2,8;3,1;3,2;4;5,2;5,6;5,6;5,2;7,8;8;9,1;8,7;7,2;8,7;8,4;7,9;8,7;10
45-49 лет;        Омская область;все население;0,2;0,4;0,3;0,1;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,1;0,2;0,2;0,2;1;0,7;0,3;0,4;0,4;0,4;0,4;0,3
45-49 лет;        Омская область;городское население;0,1;0,2;0,3;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,1;0,1;0;0,1;0,1;0;0,1;0,1;0,2;0,1;0,2;0,2;0,2;1,1;0,8;0,2;0,4;0,3;0,5;0,4;0,3
45-49 лет;        Омская область;сельское население;0,3;0,9;0,3;0,1;0,2;0,4;0,2;0,3;0,1;0,1;0,2;0,1;0,1;0,2;0,1;0,1;0,2;0,1;0,2;0,1;0,2;0,3;0,1;0,3;0,7;0,6;0,5;0,2;0,6;0,2;0,1;0,4
50-54 лет;        Омская область;все население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,1;0,1;0;0;0;0;0;0,1
50-54 лет;        Омская область;городское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,1;0,1;0;0;0;0;0;0
50-54 лет;        Омская область;сельское население;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0,1;0;0,1;0;0,1
15-19 лет;        Оренбургская область;все население;64,6;64,4;61,9;56,7;56,1;51,2;42,9;39,8;39,8;34,8;33,3;31,3;32,2;29,8;30,9;30;31,7;32,6;32,5;33,1;30,7;29,7;32;30,3;31,6;27,5;22,9;21;18;16,9;14,9;15,4
15-19 лет;        Оренбургская область;городское население;53,5;54,6;51;48,5;49,7;43,9;36,9;32,7;32,9;29,4;23,7;22,5;23,7;23,3;25,1;23,8;24;23,2;21,4;21,4;18,8;18,9;20,6;21,4;21,6;21,1;16,1;14,3;12,8;12,4;11;11,1
15-19 лет;        Оренбургская область;сельское население;94,6;89;86,7;73,6;68,9;66,2;55,4;54,9;55,1;45,6;51,3;48,7;48,8;40,9;39,8;38,9;43,3;48,2;52,9;56;55,1;51,4;51,6;43,7;45,2;35,7;31,7;29,7;24,7;23;20,4;21,7
20-24 лет;        Оренбургская область;все население;190,8;178;167,3;147,2;143,2;127,5;121;109;114,4;104,7;109,8;108,1;111,8;110,6;108;100;103;106,5;109,4;113,3;109,7;110,9;118,6;118;114,3;110;103,4;90,8;87,7;80,5;78,5;76,1
20-24 лет;        Оренбургская область;городское население;162,2;149,4;137,4;118,3;118,9;106,8;104,4;95;100,7;97,5;95,4;93,4;97,2;93,5;89,8;81,3;83,1;81,6;84,6;85;79,2;77,7;77,9;76,6;71,7;77,3;74,6;73,4;76;72,9;72,8;70,9
20-24 лет;        Оренбургская область;сельское население;250,6;241,8;236;216,1;203,2;178,9;161,3;142,6;147,2;119,4;135,7;135,6;140,4;145,7;147,1;140,3;144,1;155,5;156,8;167,5;170,7;185,4;224,9;240,7;244,9;200,5;168,9;121,5;104,4;90,3;85,5;82,6
25-29 лет;        Оренбургская область;все население;104,6;93,6;84,3;73,8;77,3;73,7;69,5;71,6;73,3;65,5;71,8;73,2;80;80,1;81,2;79,8;83,8;96;101,8;108,2;112,6;112,6;121,5;128,4;129,1;132,5;130,1;113,1;109,9;99,6;98,5;97,3
25-29 лет;        Оренбургская область;городское население;92,8;82,6;70,9;62,7;66,7;63,5;61,7;62,8;63,7;61,6;65,4;66,8;74,3;75,3;74,9;74,2;76,5;83,8;89,2;93,8;100,1;97,4;101,7;108,1;105,2;110,3;106,8;86,8;83,6;74,9;76,9;81
25-29 лет;        Оренбургская область;сельское население;127,8;114,8;109,4;94;96,7;93,1;85;89,9;93,9;72,8;82,3;83,9;89,6;88,3;92,4;90,1;97,5;119,5;126,7;137,2;138,1;143,8;162,3;171,7;183,2;186,6;193,9;198,3;208,5;196,6;174,4;143,1
30-34 лет;        Оренбургская область;все население;50,8;43,4;37,3;30,4;31,4;30,2;29,2;31,6;34;32,6;35,1;38,6;44,6;44,1;45,3;44,5;47,3;57;61,2;66,4;76;74,7;79,4;82,7;86,8;88,4;88,8;78,8;78,5;74,2;72,5;74
30-34 лет;        Оренбургская область;городское население;45;37,3;32,6;26,2;27;26,2;26;27,5;29,5;31;33,3;36,4;42,6;42,1;44,4;42,8;47,3;53;56,6;62,7;72,2;71,3;73,6;76,1;79,4;83,3;81,7;71,6;69,5;63,3;61;59,6
30-34 лет;        Оренбургская область;сельское население;64;56,7;47,1;38,9;40;37,9;35,2;38,9;41,9;35;37,4;41,7;47,3;46,9;46,6;47,2;47,4;63,8;69,1;72,9;83;81,1;90,4;95,7;102;99,2;104,5;95,7;100,7;103,6;107,1;123,8
35-39 лет;        Оренбургская область;все население;19,5;18;14,1;11;11,1;10,4;9,7;10,4;11;9,5;10,9;12,3;12,5;14,6;16,1;15,3;16,1;22,2;25,7;27,1;29;31;35,9;37,4;39,1;39,1;37,8;36,5;37,8;37;37,5;37,4
35-39 лет;        Оренбургская область;городское население;16,2;15,2;11,6;9,2;8,9;8,3;8,5;8,3;9,2;8,4;9,6;10,7;10,7;13,8;15,8;14,7;15,3;21;23,6;25,5;26,2;28,5;33,4;35,6;36,8;38,9;36,5;33,9;35,6;34,4;34,5;33,4
35-39 лет;        Оренбургская область;сельское население;27,8;24,8;20,1;15;16;15;12,2;14,5;14,5;11,3;12,6;14,5;14,9;15,6;16,4;16,1;17,3;23,9;28,8;29,6;33,4;35,1;40,1;40,5;43,1;39,5;40;41,6;42,3;42,7;44,6;47,1
40-44 лет;        Оренбургская область;все население;4,4;3,8;3,4;2,7;2,2;2,1;2;2;2;2,1;2,2;2;2,4;2,4;2,3;2,4;2,9;3,5;4;4,1;4,8;4,8;6,7;6,4;7,1;7,5;7,6;7;7,7;7,8;7,1;7,7
40-44 лет;        Оренбургская область;городское население;3,5;2,7;2,6;1,9;1,7;1,8;1,5;1,5;1,4;1,9;1,5;1,7;1,8;2;1,7;2,2;2,2;3;3,7;3,5;4,3;4,5;6,3;5,6;7,3;6,7;7,2;6,6;7,1;7,2;6,9;7,4
40-44 лет;        Оренбургская область;сельское население;6,5;6,7;5,5;4,9;3,5;2,7;3,2;3;3,4;2,6;3,1;2,5;3,3;3,1;3;2,8;3,7;4,1;4,4;4,9;5,4;5,3;7,1;7,6;6,8;8,8;8,4;7,6;8,8;8,7;7,4;8,3
45-49 лет;        Оренбургская область;все население;0,1;0,3;0,3;0,2;0,3;0,1;0,1;0,2;0,1;0,1;0,1;0,1;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,4;0,3;0,2;0,2;0,3;0,4;0,4;0,3;0,3
45-49 лет;        Оренбургская область;городское население;0;0,2;0,1;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,1;0,4;0,2;0,2;0,3;0,2;0,4;0,4;0,3;0,3
45-49 лет;        Оренбургская область;сельское население;0,3;0,4;0,6;0,4;0,5;0,2;0;0,3;0,1;0,2;0,2;0,2;0,1;0,2;0,2;0,2;0,1;0,2;0,2;0,2;0,1;0,1;0,1;0,4;0,4;0,3;0,1;0,3;0,4;0,4;0,3;0,2
50-54 лет;        Оренбургская область;все население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50-54 лет;        Оренбургская область;городское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0
50-54 лет;        Оренбургская область;сельское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
15-19 лет;        Орловская область;все население;58,9;57,6;54,9;59,2;59,9;53,2;46,1;41,8;36,8;33,6;31;31,3;30,3;29,5;31;30;31,1;31,3;29,1;28,4;27,6;25,4;26,6;23,9;25,5;21,1;20,6;18,7;15,8;13,7;11,9;10,8
15-19 лет;        Орловская область;городское население;44,1;46,2;45,2;48,2;49,9;43,9;37,8;34,4;31;26,4;24,9;24,9;22,1;22,2;24,2;23;23,6;21,6;20,7;18,9;17,4;15,5;15,1;15,6;14,7;14,6;13,1;11,4;10;9,3;6,6;7,3
15-19 лет;        Орловская область;сельское население;99,7;88,5;79,9;84,9;82,3;74,7;65,3;59,1;50,5;50,9;46,3;48,1;51,7;47,4;46,6;45,2;46,9;52,8;48,8;51,1;51,9;48,7;52,7;40,9;47,5;34,7;36,8;34,7;28,2;23,4;23,5;18,1
20-24 лет;        Орловская область;все население;156,4;142,6;130,4;120;123,2;114,7;110,5;95,7;98,1;94,8;96,9;95,8;97,5;99,2;98,4;92;92,8;96,1;94,9;91,8;90,1;83,5;84,1;80,6;80,6;79,2;75,4;70,8;69,6;61,5;62,4;58,8
20-24 лет;        Орловская область;городское население;137,2;125,3;117;105,5;110,5;103,1;101,6;85,1;87,8;87,3;91;90,9;90,5;91,6;90,2;82,7;81,6;82,1;83,2;79,9;70,2;59;57,8;55,5;54,1;60,4;57,4;55,1;59,7;52,2;55,1;50,3
20-24 лет;        Орловская область;сельское население;199,6;181,5;161;153,5;153,3;142,7;132,7;121,9;122,7;112,8;111,1;108;116;119,9;121,4;117,4;122;130,3;121,9;118,6;135,5;143,7;156,5;155,6;163;136,4;125,6;109,5;91;79,8;76;74,7
25-29 лет;        Орловская область;все население;89;76,6;65,2;62,3;66,2;60,1;57,6;54,9;58,8;53,2;61,2;62,5;67,8;69,7;72,3;67,6;75,7;77,3;85;90,7;95,5;93,3;102,5;101,1;103;108,7;106,9;89,7;86,9;77,8;78,9;77,1
25-29 лет;        Орловская область;городское население;80,3;72;57,9;55;58,9;55,5;53,4;52,5;55;50,3;60;60,5;66;66,8;73,9;65,7;72;73,3;80,3;85,4;84,4;79,1;82,4;84,6;89,1;100,8;95,2;78,4;75,2;66,1;70,5;69,7
25-29 лет;        Орловская область;сельское население;107,6;86,3;80,2;77;80,3;69,2;65,8;59,7;66,9;59,5;63,9;66,9;71,8;76,3;68,5;72,1;85,1;87,3;97;104;122,2;126;147,3;138;135,8;128,8;138,8;123,5;124,8;115,4;104,3;97
30-34 лет;        Орловская область;все население;44,1;36,3;31,6;26,6;28,2;26,8;25,2;27,3;27,3;24,3;28,6;28,5;35,7;36,1;37,7;37;37,9;45,5;52,8;55;61,1;57,8;65,5;68,3;69,1;76,5;77,1;68,2;68,3;62;61,5;58,4
30-34 лет;        Орловская область;городское население;39,5;32,7;28,1;23,1;25;24,3;23,1;25,5;24,5;23,2;28,5;27,1;36,9;36,6;37,5;37,2;38;43,3;49,4;53,8;56,3;52,5;56,4;60,3;63,1;73,9;74,7;66,1;65,4;58,4;57,3;54,1
30-34 лет;        Орловская область;сельское население;55,8;45;39,7;34,4;35;31,8;29,5;30,8;32,7;26,5;28,9;31,1;33,3;35,2;38,2;36,7;37,7;50,5;60,7;57,9;72,5;70,4;87,6;87,8;84;82,8;83,4;73,5;75,7;71,3;72,9;71
35-39 лет;        Орловская область;все население;15,6;14,6;11,1;10,2;10,2;9,2;10;9,6;9;9,8;9,6;10,9;10,8;12,5;13,6;12,9;13,5;17;20,3;20,6;23,4;24,2;27,1;29,4;29,4;31,3;33,3;30,8;29,7;31,3;32,5;31,9
35-39 лет;        Орловская область;городское население;12,2;11,4;9,1;8;8,1;7,6;8,5;8,6;7,1;8,5;7,6;10,2;10,7;11,8;12,9;13,1;13,1;16;20,2;19,3;20,5;21;23,7;27,8;27,5;31,5;33,3;31,1;30;30,4;32,3;30
35-39 лет;        Орловская область;сельское население;25,8;24;16,6;16;15,6;13;13,4;11,7;12,7;12,4;13,6;12,3;11;13,8;15;12,5;14,2;18,9;20,6;23,3;29,8;31,1;34,8;33,1;33,7;30,7;33,5;30,1;28,9;33,7;33,1;36,9
40-44 лет;        Орловская область;все население;3,7;4,1;2,9;2,4;2,4;1,8;2,4;1,5;2;2,3;1,8;2,1;1,8;2,2;1,7;1,6;1,9;2,6;3,7;4,1;4,1;3,9;4,5;5,7;6,1;6,4;6,1;6,4;6,7;6,5;5,9;6,2
40-44 лет;        Орловская область;городское население;2,7;2,9;1,7;1,2;1,4;1,1;1,3;1;1,4;1,5;1,1;1,5;1,4;1,5;1,4;1,4;1,6;2;3,1;4;3,9;3;4,2;5,4;5,9;6,7;6;5,9;6,6;6,6;5,9;5,7
40-44 лет;        Орловская область;сельское население;6,8;7,7;6,7;5,9;5,3;3,6;5,4;2,7;3,7;4,1;3,4;3,4;2,6;3,5;2,3;2;2,2;3,9;4,8;4,4;4,3;5,4;5;6,2;6,5;5,6;6,1;7,5;6,9;6,4;6;7,6
45-49 лет;        Орловская область;все население;0,2;0,3;0,1;0,3;0,2;0,1;0,1;0;0,1;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,2;0,1;0,2;0,4;0,1;0,3;0,4;0,5;0,3;0,6;0,4;0,3
45-49 лет;        Орловская область;городское население;0,2;0,3;0,1;0,1;0,1;0,1;0,1;0;0;0;0,1;0,1;0,1;0,1;0;0,1;0,1;0,1;0;0,2;0,1;0,1;0,2;0,3;0,1;0,4;0,5;0,5;0,5;0,7;0,4;0,2
45-49 лет;        Орловская область;сельское население;0,2;0,4;0;0,7;0,5;0,1;0,1;0,1;0,4;0,3;0,2;0,2;0,5;0,3;0,2;0,2;0,3;0,1;0,3;0,1;0,2;0,2;0,1;0,4;0,1;0,3;0,2;0,5;0;0,3;0,4;0,4
50-54 лет;        Орловская область;все население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50-54 лет;        Орловская область;городское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0
50-54 лет;        Орловская область;сельское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
15-19 лет;        Пензенская область;все население;57,3;54,5;51,9;51,2;50,5;47;40,8;35,6;33,8;29,7;29;26,2;25,7;24,9;24,9;24,2;24,7;25,6;24,8;23,5;22,5;21,2;22,7;22,8;20,6;20,4;17,9;13,5;13,8;10,6;11,1;10,1
15-19 лет;        Пензенская область;городское население;47;43,7;43,4;44,8;43,4;39,3;35,3;30,4;28;24,3;23,5;20,2;19,9;19,7;20,9;18,5;20;20,3;18,2;17,5;16,8;15,2;17,4;17,4;17;17,7;14,6;11,8;11,3;8,7;9,7;8
15-19 лет;        Пензенская область;сельское население;84,2;80,6;70,9;64,7;65,7;63,7;53;47,1;46,6;42,3;42,3;41,6;40,4;37,4;33,5;36,1;34,7;37,7;41,1;38,9;37;36,1;34,6;33,8;27,7;25,9;24,8;16,9;18,9;14,6;13,9;14,7
20-24 лет;        Пензенская область;все население;161,4;151;140,4;126,7;122,8;114;105,1;99,6;100,9;96,1;96,9;95;96,6;97;92,7;89,1;89,3;89,8;92,3;89,4;83,3;83,4;89,2;85,4;82,5;83,4;78,5;73,2;69,4;66,4;63,4;63
20-24 лет;        Пензенская область;городское население;145,3;132,1;123,2;110,2;110,6;99,9;94,7;90,5;92,8;86,7;87,6;85,9;88,5;87,3;82;80,6;79,9;78,3;82,1;79,4;73,5;70,2;75,3;69,2;66,7;73,8;69,5;63,4;63,5;62,6;60;60,7
20-24 лет;        Пензенская область;сельское население;199,2;196,5;182,4;167,2;153,1;148,9;130,4;121,3;120,4;119;119,8;117,8;117,8;122,7;120,4;110,8;111,9;116,3;115,3;112,1;106,3;116,3;127,3;133,9;131,3;112,4;103,4;97,3;82,3;73,9;70,1;67,5
25-29 лет;        Пензенская область;все население;83,1;76,4;63,4;59,9;59,9;59,4;57,9;59,8;57,8;56,5;57,8;60;66,5;69,5;71,3;67,1;68,8;79,3;83,6;86,1;88,6;87,1;96,4;95,9;102,3;101,3;101,5;87;86,3;80,4;78,4;78,1
25-29 лет;        Пензенская область;городское население;77,9;69,4;58,2;56;55,9;54,9;53,9;55,1;54,5;52,1;54,1;56,6;63,3;67;68,1;65,2;66,8;76,3;79,2;82,4;85,3;86,2;94,5;91,7;98,8;100,7;99,7;82,1;78,7;73,1;71,2;73,6
25-29 лет;        Пензенская область;сельское население;94,4;91,6;74,5;68,1;68,3;68,9;66,9;70,7;65,5;66,9;66,7;68,1;74,3;75,4;79,1;71,6;73,8;86,7;94,5;95,4;96,8;89,5;101,5;107,2;111,7;102,9;106,8;102,6;112,3;106,7;103,6;92,1
30-34 лет;        Пензенская область;все население;40,9;34,1;28,4;24,5;23,8;22,9;23,6;23,6;26,4;25,4;27,1;27,4;30,2;34,6;35,9;36,2;38;46,8;51,5;54,9;56,3;56,9;61,3;64,8;70;71,8;69;63,6;65,5;59,9;57,4;57,9
30-34 лет;        Пензенская область;городское население;38,9;31,7;27,3;23,7;22,6;21,8;23,3;23,1;26,2;25,4;26,4;26,2;29,3;34,5;35,6;37,1;37,7;46,3;50,2;55,9;56,4;57,2;61,1;64,7;69,9;74,4;71,4;65,7;65,1;60,2;55,9;56,2
30-34 лет;        Пензенская область;сельское население;45,6;39,6;30,9;26,2;26,5;25,3;24,3;24,7;26,8;25,2;28,6;29,9;32,4;34,9;36,7;34,1;38,9;48,1;54,7;52,4;56;55,9;61,7;65,1;70,5;64,4;62;57,4;66,5;58,9;62,1;63,6
35-39 лет;        Пензенская область;все население;14,5;12,4;10,3;8,8;8,2;8,2;7,5;7,5;7,8;7,5;7,4;8;9;10,4;12,4;11;12,6;18,2;19,5;19,8;23,5;23,6;26;27,1;28,7;30,2;30,1;29,4;29,9;29,6;29,1;31,2
35-39 лет;        Пензенская область;городское население;13,6;11,3;9,1;8,4;6,8;7,5;6,7;7,2;6,9;6,9;7;7,8;8,6;10,5;12,2;11,4;13,3;18;19,1;20,3;24,5;24,2;27,1;27,1;29,3;31,3;31,7;30,4;30,4;30,1;29;31,1
35-39 лет;        Пензенская область;сельское население;17;15,2;13,1;9,8;11,5;9,7;9,3;8,3;9,6;8,8;8,3;8,5;9,9;10,3;12,8;10,1;11,2;18,5;20,4;18,6;21;22,1;23,5;27;27,2;27,3;26;26,6;28,7;28,3;29,4;31,4
40-44 лет;        Пензенская область;все население;3,2;2,9;2,3;1,9;2;1,4;1,8;1,6;1,5;1,7;1,4;1,7;1,7;2;1,4;1,8;1,6;2;2,7;3,1;3,3;3,7;4,5;4,3;5,1;5,7;5,9;5,3;5,5;6,2;5,6;6,5
40-44 лет;        Пензенская область;городское население;2,9;2,2;1,7;1,3;1,8;1,1;1,2;1,2;1,2;1,3;1,2;1,5;1,4;1,8;1,4;1,9;1,4;1,9;2,7;3,2;3,2;3,6;4,6;4,5;5,1;6;6,1;5,5;5,8;6,5;5,6;6,5
40-44 лет;        Пензенская область;сельское население;4;4,7;4,1;3,3;2,6;1,9;3,1;2,4;2,1;2,6;1,8;2,1;2,4;2,4;1,6;1,7;1,8;2,1;2,9;3,1;3,5;3,8;4,3;3,9;5;5;5,5;4,8;4,7;5,4;5,5;6,4
45-49 лет;        Пензенская область;все население;0;0,1;0,1;0,2;0,1;0,1;0,1;0;0;0;0,1;0;0,1;0;0;0,1;0,1;0;0,1;0,1;0,2;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0,2;0,1
45-49 лет;        Пензенская область;городское население;0;0;0;0,1;0;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0,1;0,2;0;0,1;0,2;0,1;0,2;0,2;0,3;0,3;0,1;0,2;0,1
45-49 лет;        Пензенская область;сельское население;0;0,2;0,2;0,3;0,2;0,2;0,1;0;0,1;0,1;0,1;0,1;0,1;0;0;0,2;0,2;0,1;0,1;0,1;0,2;0,2;0,2;0,1;0,3;0,2;0,3;0,1;0,1;0;0,3;0,2
50-54 лет;        Пензенская область;все население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0
50-54 лет;        Пензенская область;городское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0
50-54 лет;        Пензенская область;сельское население;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0
15-19 лет;        Пермский край;все население;58,1;54,9;52,3;51,5;51;44,5;40,5;40;38;31,9;30,4;31,8;33,2;33,4;33,6;32,5;33,9;33,9;35,6;33,8;32,2;31,6;32;31,9;29,3;28,6;24,2;20,3;16,9;15,9;13,9;13,9
15-19 лет;        Пермский край;городское население;50,8;46,9;45,2;45,2;45;39,3;35,5;33,2;31,5;25,9;25,3;26,6;28,3;28,6;28,8;26,9;28;27,2;28,1;27,1;24,5;23,5;23,2;24,3;21,3;22,5;20,3;15,4;13,5;12,2;11;11,2
15-19 лет;        Пермский край;сельское население;93;91,2;81;75,1;73,1;63,5;59,5;66,2;63,4;54,8;50,1;51,3;51,1;49,6;48,9;49,7;52,8;56,7;61,9;57,6;58,7;59,4;63,1;58,9;57;48,9;37,1;37,1;29;29,2;24,4;23,7
20-24 лет;        Пермский край;все население;161,7;150,9;141,3;122,4;121,9;113,9;109,2;102,5;104,9;99,7;100,7;102,5;106,6;106,3;102,9;94,6;95,2;97,5;100,7;100,4;102,2;101,7;106,7;106,3;103,3;101,5;94,5;82,8;81,7;74,7;72,7;72,2
